Sample	mapping_type	num_alignments_below_threshold_for_mapped_fragments_vm	num_dovetail_fragments	serialized_eq_classes	index_decoy_name_hash	opt_type	salmon_version	index_name_hash512	gc_bias_correct	index_seq_hash512	index_seq_hash	num_eq_classes	frag_dist_length	num_valid_targets	num_libraries	eq_class_properties	num_fragments_filtered_vm	index_decoy_seq_hash	frag_length_sd	num_mapped	call	samp_type	num_processed	start_time	num_decoy_targets	num_bootstraps	num_bias_bins	num_decoy_fragments	index_name_hash	percent_mapped	quant_errors	seq_bias_correct	end_time	keep_duplicates	library_types	frag_length_mean	length_classes
X_ROT10_sortmerna_trimmomatic	mapping	6822925	604458	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	121605	1001	75195	1	[u'range_factorized', u'gzipped']	1020686	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	51.0955434785	19005648	quant	bootstrap	21653036	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.7735944281	[]	True	Wed Oct 13 14:01:22 2021	False	[u'ISR']	252.935063846	[825, 1621, 2352, 3363, 53234430]
X_ROT6_sortmerna_trimmomatic	mapping	6393512	607509	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	119284	1001	75195	1	[u'range_factorized', u'gzipped']	939868	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	48.6586307514	18167426	quant	bootstrap	20640074	Wed Oct 13 14:11:00 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	88.02015923	[]	True	Wed Oct 13 15:09:37 2021	False	[u'ISR']	245.529887784	[825, 1621, 2352, 3363, 53234430]
X_ROT7_sortmerna_trimmomatic	mapping	6411752	577925	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	119908	1001	75195	1	[u'range_factorized', u'gzipped']	956418	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	52.1971245319	18072130	quant	bootstrap	20547461	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.9531052523	[]	True	Wed Oct 13 14:03:14 2021	False	[u'ISR']	256.084103552	[825, 1621, 2352, 3363, 53234430]
X_ROT8_sortmerna_trimmomatic	mapping	6569794	602197	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	120007	1001	75195	1	[u'range_factorized', u'gzipped']	987948	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	51.9721728499	18035798	quant	bootstrap	20616190	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.4836621122	[]	True	Wed Oct 13 14:03:03 2021	False	[u'ISR']	258.315812294	[825, 1621, 2352, 3363, 53234430]
X_ROT9_sortmerna_trimmomatic	mapping	6748477	616794	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	121648	1001	75195	1	[u'range_factorized', u'gzipped']	1007795	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	51.3096900664	19031500	quant	bootstrap	21685369	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.7619375534	[]	True	Wed Oct 13 14:06:05 2021	False	[u'ISR']	251.992780707	[825, 1621, 2352, 3363, 53234430]
X_STA1_sortmerna_trimmomatic	mapping	6743420	586635	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	128758	1001	75195	1	[u'range_factorized', u'gzipped']	1013363	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	54.8831912812	18459282	quant	bootstrap	21059114	Wed Oct 13 14:03:47 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.654599334	[]	True	Wed Oct 13 15:04:25 2021	False	[u'ISR']	264.985559285	[825, 1621, 2352, 3363, 53234430]
X_STA2_sortmerna_trimmomatic	mapping	6675828	578741	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	125665	1001	75195	1	[u'range_factorized', u'gzipped']	1003160	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	54.1136454012	18413445	quant	bootstrap	21063797	Wed Oct 13 14:03:16 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.4175012226	[]	True	Wed Oct 13 15:03:20 2021	False	[u'ISR']	261.149648512	[825, 1621, 2352, 3363, 53234430]
X_STA3_sortmerna_trimmomatic	mapping	6591393	575812	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	126746	1001	75195	1	[u'range_factorized', u'gzipped']	997447	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	55.0723153391	17930029	quant	bootstrap	20493274	Wed Oct 13 14:15:12 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.4922620954	[]	True	Wed Oct 13 15:15:28 2021	False	[u'ISR']	262.734214994	[825, 1621, 2352, 3363, 53234430]
X_STA4_sortmerna_trimmomatic	mapping	6712979	604849	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	126152	1001	75195	1	[u'range_factorized', u'gzipped']	982034	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	55.2827494077	19131207	quant	bootstrap	21773496	Wed Oct 13 14:01:25 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.8646543486	[]	True	Wed Oct 13 15:03:28 2021	False	[u'ISR']	262.500432621	[825, 1621, 2352, 3363, 53234430]
X_STA5_sortmerna_trimmomatic	mapping	6367381	618345	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	118604	1001	75195	1	[u'range_factorized', u'gzipped']	925849	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	50.2951234421	18338019	quant	bootstrap	20742773	Wed Oct 13 13:04:19 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	88.4067863058	[]	True	Wed Oct 13 14:03:45 2021	False	[u'ISR']	250.534699443	[825, 1621, 2352, 3363, 53234430]
