Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
P_ROT16_1	690.0	567.5	349.0	218.0	181.5	170.0	156.0	143.5	156.0	169.5	201.5	247.0	279.5	341.5	457.0	606.5	751.5	1077.0	1702.5	2207.0	2914.0	4151.0	5784.0	8423.5	12483.0	18138.0	27041.0	40998.5	59648.5	83767.0	114723.5	152391.5	199478.5	259538.0	329462.0	408380.5	502154.0	608914.5	731127.0	867563.0	1010464.5	1151422.5	1274302.0	1361138.5	1408344.0	1421633.0	1396108.5	1326225.0	1215746.5	1074600.0	922357.5	777476.5	642120.0	512013.5	397934.0	308122.0	236915.5	181420.5	137590.5	104307.5	77332.5	56435.5	41709.5	30373.5	23047.0	18551.0	14083.5	9623.0	7098.0	6002.5	4684.0	3562.0	2953.0	2328.0	1684.0	927.0	454.5	279.0	221.5	155.5	109.0	91.0	79.5	68.0	56.0	38.0	27.0	25.5	21.5	13.5	10.0	7.0	6.5	8.0	9.5	9.5	7.5	7.5	22.5	21.0	3.5
P_ROT16_2	243.0	197.5	149.0	154.0	188.0	223.0	238.5	260.5	296.0	364.5	430.0	459.0	506.0	593.0	715.0	846.5	1058.0	1351.5	1696.5	2207.5	2889.0	3902.5	5343.5	7282.5	10345.5	14888.0	20954.0	29791.0	41400.0	56641.5	76824.5	104010.5	139761.5	187741.5	248804.5	328412.0	432095.5	558268.5	705803.5	870560.0	1041565.5	1204787.5	1347643.5	1447607.0	1502038.5	1505351.5	1464650.0	1385910.5	1256675.0	1098424.5	941694.5	789508.5	637985.5	501508.5	391205.0	302203.0	231293.0	177310.0	133955.0	100124.5	72946.0	53009.0	39491.5	28764.5	20802.5	16007.5	12087.5	8422.0	6264.0	4945.5	3627.0	2625.0	2023.5	1649.5	1313.0	1026.5	822.5	658.5	545.5	469.0	415.0	356.5	320.0	277.5	238.5	230.0	207.0	178.0	154.5	141.5	142.0	145.0	153.5	161.5	168.0	188.0	207.0	245.5	291.0	385.0	4353.0
P_ROT16_sortmerna_1	187.0	130.0	48.0	20.0	18.0	18.0	24.5	34.5	48.0	68.5	98.0	136.0	183.5	243.0	355.5	499.0	631.5	947.0	1548.0	2022.0	2692.0	3888.0	5466.5	8057.0	12132.0	17830.5	26714.0	40575.5	59139.0	83142.5	113987.5	151645.0	198508.5	258147.0	327902.0	406822.0	500421.5	606931.0	728814.0	864784.0	1007159.0	1147557.0	1269845.5	1355818.5	1401674.0	1412182.0	1384556.0	1314059.5	1204928.5	1065693.5	914335.5	770792.5	636708.5	507520.5	394169.5	304643.0	233277.0	177725.0	133866.0	101180.0	75239.0	55164.0	40717.5	29501.0	22292.0	17684.0	13078.0	8714.0	6457.5	5541.0	4301.5	3222.5	2607.0	1975.0	1411.5	716.0	280.0	178.0	133.5	85.5	51.0	39.0	30.0	20.0	15.0	11.5	8.0	9.0	6.5	1.5	2.0	1.5	0.5	0.5	1.0	0.5	0.5	0.5	0.0	0.0	0.0
P_ROT16_sortmerna_2	138.0	96.0	43.0	32.0	35.0	49.5	62.0	74.5	88.0	124.0	179.5	221.5	271.0	368.0	480.5	607.5	835.5	1118.0	1444.5	1936.5	2621.5	3626.5	5030.0	6891.0	9854.0	14344.0	20442.0	29312.5	40885.0	56071.5	76178.0	103283.0	139003.0	186919.0	247686.5	326752.0	430087.0	555919.0	703072.5	867166.0	1037640.5	1200813.0	1342667.5	1441380.5	1494500.5	1496603.5	1455638.0	1376776.0	1247708.5	1090436.0	935126.5	784181.5	633400.5	497283.0	387653.0	299134.0	228327.0	174515.5	131802.5	98646.5	71563.5	51713.5	38286.5	27596.5	19865.0	15298.0	11302.5	7569.0	5465.5	4154.5	2884.5	2048.0	1498.0	1161.0	924.5	702.5	506.5	375.5	308.5	248.0	203.0	156.0	129.0	104.5	77.0	72.0	53.5	33.5	28.0	24.5	22.5	18.0	13.5	11.0	7.0	6.0	3.5	2.0	2.5	1.5	0.5
P_ROT16_sortmerna_trimmomatic_1	246.0	159.5	53.5	25.0	13.0	14.5	21.0	21.5	40.0	65.5	89.5	125.0	180.0	261.5	377.0	536.0	707.0	1022.5	1593.0	2099.5	2789.5	3959.0	5554.5	8100.5	12055.5	17570.5	26077.5	39451.5	57376.0	80526.0	110371.0	146704.0	191666.0	248791.0	315858.5	391769.0	481732.0	584364.0	702203.5	833369.5	970425.0	1105975.5	1224178.5	1307508.5	1352033.5	1361907.0	1334978.5	1266970.5	1161631.5	1027392.5	882331.5	744598.5	615344.5	490577.0	380490.5	293652.5	224775.0	171307.0	129142.5	97692.0	72658.5	53120.5	39063.5	28140.5	21158.0	16751.0	12313.0	8120.0	5944.5	5084.5	3947.5	2949.0	2378.0	1770.5	1246.5	632.5	274.5	225.0	197.5	134.0	89.0	55.0	24.5	12.0	4.5	1.5	1.5	3.0	2.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ROT16_sortmerna_trimmomatic_2	105.0	65.5	18.0	13.5	22.5	33.5	38.5	47.0	62.0	88.0	123.0	161.0	206.0	266.0	357.0	485.0	686.5	922.0	1247.5	1754.5	2388.5	3295.0	4595.0	6366.0	9202.0	13500.0	19322.5	27791.5	38825.0	53276.0	72387.0	98229.0	132182.0	177846.5	235866.5	311845.5	411738.5	533063.0	675065.5	834141.0	999411.5	1157425.5	1294712.0	1390799.5	1442818.5	1445327.0	1406228.5	1329977.5	1205486.0	1053284.5	903041.5	757492.5	611639.0	479993.5	374083.0	288492.0	220065.0	168261.5	127209.0	95293.0	69214.0	49969.5	36879.5	26364.5	18695.0	14237.5	10347.5	6754.5	4745.5	3466.5	2254.0	1486.5	992.5	689.5	502.5	353.0	224.5	128.0	83.0	50.5	27.5	17.5	17.0	15.0	8.0	2.5	0.5	1.5	3.0	3.0	2.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ROT17_1	326.0	332.0	286.0	216.0	177.5	152.5	138.0	124.5	138.5	159.0	185.5	219.0	260.0	346.0	439.0	561.5	734.0	1037.0	1622.0	2139.5	2809.5	4034.0	5759.0	8299.5	12783.0	19196.5	28705.0	43751.0	63918.5	90817.5	125494.5	165702.5	213989.5	274825.5	345182.0	423707.5	517229.5	620816.5	737431.0	868364.5	1003533.0	1139349.5	1259278.0	1340453.5	1383532.5	1393331.0	1369590.0	1306868.5	1198732.5	1057745.5	908747.0	770685.0	639880.5	507643.5	390764.0	300878.0	230862.0	176583.0	132020.0	98495.0	72679.5	52231.5	37772.5	27331.5	20631.0	16650.0	12792.5	8743.5	6709.0	6016.0	4761.0	3650.5	3018.5	2375.5	1745.5	967.0	456.5	270.0	205.0	151.0	111.5	88.5	80.0	64.0	45.5	34.0	28.5	30.5	22.0	9.0	8.5	7.0	6.0	4.5	4.0	6.5	7.5	13.0	34.0	30.5	5.5
P_ROT17_2	185.0	172.0	152.0	170.5	207.5	246.5	297.0	326.0	347.5	378.5	399.5	440.5	507.5	594.0	723.5	849.0	1084.0	1385.5	1725.5	2233.0	2982.0	3996.0	5424.5	7434.5	10448.5	15341.0	21482.0	30104.0	41957.5	57579.5	77682.5	105030.0	141151.5	189273.5	249738.5	326636.0	428246.5	552026.0	696235.5	857456.0	1025623.5	1187626.0	1328900.0	1425445.0	1481742.5	1488479.0	1452296.0	1388340.5	1264078.5	1101515.5	949709.5	799762.0	642323.5	503421.0	393459.5	303888.0	231430.0	175120.5	131037.5	96955.5	69490.0	49493.5	36376.0	26514.0	18868.5	14463.0	10982.0	7516.0	5521.5	4438.5	3241.5	2356.5	1787.0	1415.5	1163.5	874.0	703.5	596.0	502.0	422.0	371.5	311.0	265.5	266.5	238.5	209.5	213.0	199.5	175.0	164.5	169.0	184.0	203.0	219.5	222.0	245.0	285.5	359.0	471.5	638.5	2772.5
P_ROT17_sortmerna_1	112.0	85.5	36.5	19.0	20.0	18.5	24.0	27.0	39.5	62.0	88.5	120.0	163.5	242.5	337.5	451.5	602.0	902.5	1467.0	1949.0	2592.0	3781.5	5434.5	7937.5	12442.0	18871.0	28320.0	43270.0	63362.5	90126.5	124707.0	164897.5	213004.5	273367.0	343445.5	421996.5	515443.0	618820.0	735076.0	865533.0	1000145.0	1135422.5	1254837.0	1335056.5	1376643.0	1383376.5	1356965.0	1293809.5	1187587.0	1048390.5	900022.5	763397.0	634134.0	502888.0	386887.5	297658.5	227717.0	173506.5	128623.0	95445.5	70749.0	51069.5	36862.5	26567.0	19973.5	15723.0	11611.0	7742.5	5994.0	5466.0	4322.5	3303.0	2702.0	2069.0	1493.5	760.0	295.5	168.0	115.0	72.0	49.5	32.0	25.5	24.0	15.5	10.0	6.0	9.5	8.0	2.0	1.0	0.5	0.5	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0
