Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
P_ROT16_1	36.4854958372	36.4434152918	36.5242037917	36.5548857102	36.5653444392	36.5432466831	36.5136895323	36.5263126038	36.5320166373	36.5436846604	36.5277959126	36.5020669885	36.4611112942	36.4288731277	36.4100047219	36.3770501582	36.3564596538	36.3241621809	36.2959524745	36.2599510518	36.2392937166	36.2005609863	36.1739264545	36.1430712627	36.0895116548	36.0659016031	36.0177510144	35.988909178	35.9553678063	35.8902647485	35.8231051047	35.7534843365	35.7045934816	35.6590034075	35.5326697855	35.4063890284	35.3691272514	35.3471126706
P_ROT16_2	36.3036083728	36.284818052	36.3791667446	36.3778933406	36.40727645	36.3615272907	36.378367246	36.4378203755	36.4239204757	36.4359559433	36.4225390374	36.3919324458	36.3485544982	36.3128319212	36.2845782996	36.2435313226	36.2022284246	36.1655248573	36.1252484197	36.0758867506	36.0125077627	35.981543972	35.9387611341	35.8935024468	35.8287520993	35.7529414623	35.7429859958	35.6415867415	35.5388806539	35.4820736577	35.4425265375	35.2629673413	35.2218087297	35.1716275526	35.0386493514	34.8841120388	34.8162754521	34.8051480912
P_ROT16_sortmerna_1	36.486807309	36.444293373	36.5248177392	36.5554315938	36.5658905478	36.5437897639	36.5140423106	36.5267412936	36.5324955946	36.5441773742	36.528579569	36.5027448595	36.4621890668	36.4303824258	36.4121350251	36.3797164305	36.3600595731	36.3280515705	36.3007854016	36.266498511	36.2461639625	36.2077242567	36.1819561612	36.1516092846	36.0999403318	36.0733140394	36.0251412342	35.9967343861	35.9633908221	35.8982630766	35.8313150121	35.7619325307	35.7133293126	35.6678835877	35.5414066243	35.4150412871	35.3779238013	35.356073857
P_ROT16_sortmerna_2	36.3076448421	36.2889709254	36.3839237209	36.3824850641	36.4121597967	36.3667285973	36.3837185181	36.4439427756	36.4299951417	36.4422436296	36.4291430981	36.3985868327	36.356020948	36.321136965	36.2937144747	36.2530295282	36.2123304572	36.176177965	36.1372368783	36.0901535776	36.028157379	35.9957477067	35.9539411748	35.910192293	35.8457798203	35.769766204	35.7576029111	35.6548221575	35.5512688588	35.4942822178	35.4547909715	35.2752142113	35.234179609	35.1840225464	35.0509150728	34.8961509707	34.8283829809	34.8176548859
P_ROT16_sortmerna_trimmomatic_1	36.5875797448	36.5497843439	36.62706863	36.6542042181	36.661393498	36.6344318884	36.6049066106	36.6167869933	36.6236007207	36.6328637599	36.6213275835	36.5994795124	36.5758156328	36.5524880305	36.5390874229	36.5100991901	36.4920928609	36.4621084239	36.444575535	36.4196148317	36.4078487735	36.3791131064	36.3636246017	36.3427506382	36.3010436325	36.284023733	36.2461037694	36.2280875934	36.2046855503	36.1505135434	36.093994903	36.0374911475	35.9995390845	35.9652784926	35.8546844967	35.7447003817	35.7312893687	36.2971174018
P_ROT16_sortmerna_trimmomatic_2	36.4254665025	36.4043298921	36.5009481365	36.497673785	36.5243018671	36.4737280612	36.4955222043	36.5583929501	36.5469568173	36.5524606293	36.5421893604	36.5148494095	36.4779667713	36.4466658346	36.4229669941	36.3859008744	36.3463660582	36.3122690327	36.2811692795	36.241619358	36.1874767442	36.1626785844	36.1295210882	36.0934275617	36.037370617	35.9709657912	35.9679492381	35.874609484	35.7809174005	35.7340797545	35.7061412928	35.5409666827	35.5164339723	35.479641924	35.366038501	35.2344715851	35.2060342816	36.0625261714
P_ROT17_1	36.4850107473	36.4494377234	36.530045363	36.560061128	36.572921767	36.5504152877	36.5239260441	36.5326514808	36.5371419062	36.5516444237	36.5343147369	36.5086311282	36.4677190838	36.4342123803	36.4150043289	36.3802178071	36.3571915387	36.3233351359	36.2949060867	36.2589604954	36.2351641285	36.1978726019	36.170785464	36.1375681087	36.0821548975	36.0589752968	36.0059211634	35.9791936358	35.9427803723	35.878515694	35.811236552	35.7365537552	35.6879505149	35.6444071187	35.5114351873	35.3837963893	35.346621038	35.3206163919
P_ROT17_2	36.29136808	36.2130536248	36.3155463945	36.3112269903	36.341787117	36.3182669922	36.3289217274	36.3514016127	36.3576364827	36.3671541036	36.3573276571	36.3261447001	36.2803497105	36.2403176058	36.2086329399	36.1655298769	36.1192614397	36.0802425614	36.0356978899	35.9823197196	35.9148385938	35.8785129647	35.8320781731	35.7841867202	35.7171676777	35.6327818566	35.6182519906	35.5125533085	35.399440781	35.3431563768	35.2992154959	35.1136209803	35.0662735817	35.0173381913	34.8769073491	34.7181440451	34.6461842772	34.6462732995
P_ROT17_sortmerna_1	36.4863297	36.4502712388	36.530774424	36.5605854475	36.5734387178	36.5508099997	36.5242882597	36.5332227442	36.5376818677	36.5521950269	36.5351033672	36.5093719637	36.4687998947	36.4357987575	36.4172313948	36.3832251469	36.3618026574	36.3281928824	36.3009307099	36.2655236292	36.242142737	36.2048725471	36.1767389639	36.1438408916	36.0889523418	36.065774698	36.0133108914	35.986759971	35.9507675198	35.8863330601	35.8193012815	35.7448197879	35.6964194109	35.6532024653	35.5201453703	35.392330987	35.3553570021	35.3292791893
